"nid","title"
"656","Direkte und indirekte Überkappungen der Zähne 11,21 - PKV"
"665","Wurzelkanalbehandlung und Füllung des vitalen Zahnes 24 in einer Sitzung - PKV"
"715","Krone wiederbefestigen mit neuem Glasfaserstift, adhäsiv und Aufbau, adhäsiv  - PKV"
"995","Fluoridierungsschiene - GKV"
"996","Individualprophylaxe inklusive professioneller Zahnreinigung bei Kindern und Jugendlichen - PKV"
"997","Individualprophylaxe inklusive professioneller Zahnreinigung beim Erwachsenen- PKV"
"998","Professionelle Zahnreinigung inklusive subgingivaler Konkremententfernung - PKV"
"999","DNS-Sondentest - PKV"
"1000","Fissurenversiegelung an Zahn 45, relative Trockenlegung - PKV"
"1005","Präparation und Eingliederung einer Brücke mit vollverbl. Anker 13 sowie Brückenglied 14 in Verbindung mit einer Teilkrone in Vollguss als Brückenanker 15 - PKV "
"1006","Coverdenture Prothese auf 43,33 Wurzelstiftkappen - PKV"
"1007","Provisorische Versorgung der Zähne 45-47 mit einer Brücke - PKV"
"1008","Wiederbefestigung der Brücke von 13-15, adhäsiv - PKV"
"1009","Parodontitisbehandlung nach erfolgter Vorbehandlung - nicht nach S3 Leitlinie - PKV"
"2557","Aufbissschiene mit adjustierter Oberfläche - Kassenleistung"
"2558","Aufbissschiene mit adjustierter Oberfläche- Privatleistung"
"2559","Verbandsplatte - GKV"
"2560","Verbandsplatte - PKV"
"2561","Aktivator - PKV"
"2566","Erneuerung der Kunststoffverblendung der Teleskopkrone 13, im Labor - GKV"
"2570","Veneers aus Presskeramik 13-23 - PKV"
"2572","Erneuerung Verblendung regio 35 und Wiedereingliederung Brücke 35-37 - GKV"
"2573","Unterfütterung mit funktioneller Randgestaltung der implantatgetragenen UK-Prothese, RiLi 36b nicht erfüllt - GKV"
"2574","Präparation und Eingliederung verbl. Metallkeramikkronen auf Zahn 34 und 35 sowie verbl. Suprakonstruktion auf Implantat 36 - GKV"
"2575","Wurzelkanalbehandlung und Füllung des vitalen Zahnes 11 mit Vereinbarung nach §8/7 BMV-Z - GKV"
"2577","Notdienst: Erneuerung provisorische Brücke 13-15 - PKV"
"2578","Erneuerung der Vollverblendung und Wiedereinsetzen der Implantatkrone 11 - GKV"
"2579","Erweiterung einer Prothese im Metallbereich um die Zähne 14 und 15 mit gebogener Retention - GKV"
"2580","Unterfütterung mit funktioneller Randgestaltung der implantatgetragenen UK-Prothese, RiLi 36b - GKV"
"2581","Wiederbefestigung des Kugelankers (Sekundärteil) 15 - PKV"
"2582","Präparation und Eingliederung von Teleskopkronen auf 32,31,41,42,43 mit UK Modellgussprothese- GKV"
"2621","Behandlung eines Patienten mit geistiger Behinderung - PKV"
"2623","Teilunterfütterung der OK Prothese regio 13-23 im indirekten Verfahren - PKV"
"2625","Besuch im Altenheim - GKV"
"2630","Wiederbefestigung der Brücke von 13-15, adhäsiv – GKV"
"2631","Erweiterung einer Prothese im Kunststoffbereich - GKV"
"2632","Insertion von Implantaten 14, 15 mit umgearbeiteter Schablone und Sofortprovisorium in CAD/CAM Verfahren- PKV"
"2633","Auffüllen parodontaler Defekte nach Lappen-OP - PKV"
"2634","Rezessionsdeckung mit Bindegewebstransplantat - PKV"
"2709","Bruchreparatur der OK-Totalprothese - PKV"
"2721","Wurzelkanalbehandlung und Füllung des devitalen Zahn 14 - PKV"
"2722","Devitalisieren der Pulpa mit anschließender Wurzelkanalbehandlung an Zahn 11 mit Vereinbarung nach §8/7 BMV-Z- GKV"
"2723","Pulpotomie am Milchzahn 54 - GKV"
"2724","Amputation und Versorgung der vitalen Pulpa an Zahn 15 - PKV"
"2727","erweiterte Vorsorgeuntersuchung mit Zahnreinigung - PKV"
"2728","Präparation und Eingliederung von Vollkeramikkronen 11,21,22 im CAD/CAM-Verfahren - PKV"
"2730","Präparation und Eingliederung von Vollkeramikkronen 11,21,22 im CAD/CAM-Verfahren - GKV"
"2731","Nachträgliches Einarbeiten von Implantat-Locatoren in UK-Totale - PKV"
"2732","Austausch Retentionsringe bei Locatoren, RiLi 36b nicht erfüllt - GKV"
"2733","Bruch- und Sprungreparatur einer OK-Kunststoffprothese - GKV"
"2734","Bruchreparatur 24 und Wiederbefestigung Zahn 12 an Totalprothese - GKV"
"2735","Wiederbefestigen eines Prothesenzahnes, Ersetzen eines Prothesenzahnes und Einsetzen einer einarmigen Klammer - GKV"
"2736","Erweiterung Zahn 27 und Basisteil 28 - GKV"
"2737","Bruchreparatur OK Totalprothese und indirekte Unterfütterung mit funktioneller Randgestaltung, zweizeitig - GKV"
"2738","Neuplanung einer gebogenen mehrarmigen Klammer einarbeiten - GKV"
"2739","Erweiterung 42-32 und Neuplanung gegossener Halte- und Stützvorrichtung 44"
"2740","Erneuerung mehrerer Prothesenzähne in Modellguss - GKV"
"2741","Verschluss eines Sekundärteleskops nach Zahnextraktion - GKV"
"2742","Bruchreparatur der Metallbasis an der OK Modellguss mit Abformung - PKV"
"2744","Erweiterung einer Modellgußprothese 43 und 35 mit Verblendung der Rückenschutzplatte"
"2745","Nachträgliches Einarbeiten einer Metallbasis und Rebasierung der UK-Totalprothese - GKV"
"2746","Direkte Unterfütterung einer partiellen Prothese"
"2747","Erneuerung der Kunststoffverblendung der Teleskopkrone 13, direkt - GKV"
"2748","Erneuerung der Kunststoffverblendung der Teleskopkrone 45 - PKV"
"2749","Wiederbefestigung eine Sekundärteleskopkrone an Metallbasis und neue vestibuläre Komposit-Verblendung 34 - GKV"
"2750","Erneuerung des Sekundärteleskops 24 mit vestibulärer Verblendung - GKV"
"2751","Erneuerung des Primärteleskops 13 - GKV"
"2752","Erneuerung des Primär- und Sekundärteleskops 24 mit Erweiterung der Prothese um den 23 - GKV"
"2755","Erneuerung einer Wurzelstiftkappe mit Kugelkopfanker 43 in Prothese- GKV"
"2756","Wiedereinsetzen Facette implantatgetragene Krone, adhäsiv, RiLi 36a - GKV"
"2757","Erneuerung einer vestibulären Verblendung und Wiedereinsetzen der implantatgetragenen Krone 21 bei RiLi 36a - GKV"
"2758","Bruchreparatur der Metallbasis an der OK Modellguss mit Abformung - GKV"
"2759","Erneuerung des Primär- und Sekundärteleskops an Zahn 25 - PKV"
"2764","Adhäsivbrücke (NEM) zum Ersatz 22 vestibulär verblendet, mit einem Flügel - GKV"
"2767","Adhäsivbrücken mit Metallgerüst 11,21, Freiendbrücke (Marylandbrücke), 15-jähriger Patient "
"2768","Adhäsivbrücke aus Vollkeramik zum Ersatz 21 - GKV"
"2769","Adhäsivbrücke statt Interimsprothese - PKV"
"2833","STOPPI® und MUPPY® - GKV"
"2834","Friedensstifter"
"2835","STOPPI® und MUPPY® - PKV"
"2836","Aufbissschiene aus LAMItec® nach Prof. Hinz - PKV"
"2957","Test MPR"
"3043","Entfernung des Zahn 48 mittels Osteotomie - GKV"
"3044","Extraktion des Zahnes 13 und Sofortimplantation - GKV"
"3045","PA Behandlung der Zähne 17,16,15, 24, 26, 33, 41-46 geschlossenes Vorgehen - GKV"
"3060","Austausch Retentionsringe bei Locatoren, RiLi 36b erfüllt - GKV"
"3070","Interimsprothese zum Ersatz von 5 Zähnen im OK - GKV"
"3071","Interimsprothese zum Ersatz von 9 Zähnen im UK - GKV"
"3072","Interimsprothese zum Ersatz eines zahnlosen Kiefers im OK - GKV"
"3090","Mehrkostenvereinbarung GKV: geschichtete einflächige Kompositefüllung am Zahn 27"
"3091","Mehrkostenvereinbarung GKV: geschichtete zweiflächige Kompositefüllung am Zahn 17"
"3092","Mehrkostenvereinbarung GKV: geschichtete dreiflächige Kompositefüllung am Zahn 44"
"3105","Metallkeramikkrone auf Implantat 11 - nach Richtlinie 36a - GKV"
"3106","Metallkeramikkrone auf Implantat 17 - Richtlinie 36a nicht erfüllt - GKV"
"3107","Erneuerungsbedürftige Implantatkrone 14 in Schaltlücke - Richtlinie 36a erfüllt - GKV"
"3108","Coverdenture Prothese als Teleskop-Hybrid-Prothese - Neuversorgung - Teleskopkronen 11, 21 und Implantate 15, 25 - GKV"
"3109","Coverdenture Prothese als Teleskop-Hybrid-Prothese - Neuversorgung - Teleskopkronen 11, 21 und Implantate 15, 25 - PKV"
"3112","Coverdenture Prothese als Teleskop-Hybrid-Prothese - Erstversorgung - neue Teleskopkronen 11, 21 und neue Implantate 15, 25 - GKV"
"3113","Coverdenture Prothese als Teleskop-Hybrid-Prothese - Erstversorgung - neue Teleskopkronen 11, 21 und neue Implantate 15, 25 - PKV"
"3182","BU: Präparation und Eingliederung einer Vollverblendeten Metallkeramikkrone am Zahn 11 über BG nach Unfall. – GKV "
"3183","BU: Präparation und Eingliederung einer Vollverblendeten Metallkeramikkrone am Zahn 11 über BG nach Unfall. – PKV "
"3184","BU: Präparation und Eingliederung einer vestibulär verblendeten Metallkeramikkrone am Zahn 11 über BG nach Unfall – GKV "
"3224","BU: Präparation und Eingliederung einer vestibulär verblendeten Metallkeramikkrone am Zahn 11 über BG nach Unfall - PKV"
"3227","BU: Vorbereitung und Eingliederung einer Vollverblendeten Implantatkrone am Zahn 12 über BG nach Unfall – GKV"
"3228","BU: Vorbereitung und Eingliederung einer Vollverblendeten Implantatkrone am Zahn 12 über BG nach Unfall – PKV"
"3229","BU: Bruch- und Sprungreparatur einer Oberkieferprothese - GKV"
"3417","PA Behandlung der Zähne im OK und UK geschlossenes Vorgehen nach S3-Leitlinie - PKV"
"3423","Fissurenversiegelung an Zahn 36,46, relative Trockenlegung - PKV"
"3424","Individualprophylaxe inklusive Zahnsteinentfernung bei Kindern und Jugendlichen - GKV"
"3425","Krone wiederbefestigen mit neuem Glasfaserstift, adhäsiv und Aufbau, adhäsiv  - GKV"
"3426","Sprungreparatur einer Prothese, ohne Abformung - PKV"
"3488","Wiederbefestigung einer Hybridbrücke 43-31 - GKV"
"3489","Wiederbefestigung einer Hybridbrücke 43-31 - PKV"
"3490","Sekundärteil des Geschiebes 33 wieder einarbeiten - GKV"
"3491","Sekundärteil des Geschiebes 33 wieder einarbeiten - PKV"
"3492","Erneuerung der Kunststoffverblendung an einer Hybridbrücke 43-31- GKV"
"3493","Erneuerung der Kunststoffverblendung an einer Hybridbrücke 43-31- PKV"
"3494","Auffüllen eines Brückenankers nach Extraktion - PKV"
"3495","Auffüllen eines Brückenankers nach Extraktion - GKV"
"3496","Notdienst: Neuherstellung/Wiedereingliederung eines alio loco Provisoriums - GKV"
"3528","UK Protrusionsschiene GKV"
"3530","UK Protrusionsschiene PKV"
"3536","Mock-up Wax-up"
"3549","Microneedling"
"3550","Wurzelsiftkappen mit Steg + MG  GKV"
"3557","PA-Strecke bei Pat mit Eingliederungshilfe nach § 99 SGB IX ohne weitere Einschränkungen, inkl Terminversäumnis- GKV"
"3558","PA-Strecke verkürzt oder modifiziert bei Pat. mit Pflegegrad nach § 15 SGB XI - GKV"
"3559","Table Tops"
"3580","Digitale Planung / digitales Wax Up / LZP gefräst"
"3619","3-D Interimsprothese / Teilprothese, digital hergestellt bei einem PKV-Patienten"
"3620"," 3-D CAD-CAM Brücke in House bei einem PKV-Patienten"
"3621","3-D gedruckte Adjustierte Aufbissschiene  nach Intraoralscan"
"3624","CAD-CAM Zirkonkrone in House verblendet und bemalt. Im Fräszentrum zugekauft. "
"3625","Frühkindliche Untersuchungen bei einem GKV-Patienten"
"3627","Basistarif OK Modellgussprothese mit Brücke"
"3634","Systematische Parodontose Behandlung mit Versäumten UPT-Termin und Verlängerungsantrag GKV"
"3637","Teilkronen vollkeramisch  11,21, CAD CAM in House GKV"
"3651","3D Bohrschalbone für Implantat"
"3652","Knochenresektion und Vestibulumplastik GKV "
"3653","Implantation 34,36, mit Schleimhauttransplantation und Vestibulumplastik PKV"
"3655","Einarbeiten von Lokatoren in vorh. ZE RiLi 36 nicht erfüllt GKV"
"3656","Einarbeiten von Lokatoren in vorh. ZE RiLi 36 erfüllt GKV"
